2023-05-07T19:15:53.804738+0300 INFO Success parsing product "Med Expert  / Маски одноразовые медицинские чёрные - 50 шт" in category "Маски защитные", progress: "0" of 20
2023-05-07T19:15:56.448119+0300 INFO Success parsing product "МедЗащита  / Маски одноразовые 100 шт" in category "Маски защитные", progress: "1" of 20
2023-05-07T19:15:59.062455+0300 INFO Success parsing product "Med Expert  / Маски для лица защитные одноразовые" in category "Маски защитные", progress: "2" of 20
2023-05-07T19:16:01.735892+0300 INFO Success parsing product "Valerika61  / Маска многоразовая" in category "Маски защитные", progress: "3" of 20
2023-05-07T19:16:04.089147+0300 INFO Success parsing product "CleanLight  / Маска для лица тканевая многоразовая защитная набор" in category "Маски защитные", progress: "4" of 20
2023-05-07T19:16:06.708792+0300 INFO Success parsing product "CleanLight  / Маска для лица тканевая многоразовая защитная набор" in category "Маски защитные", progress: "5" of 20
2023-05-07T19:16:08.835758+0300 INFO Success parsing product "Маски Одноразовые  / Комплект масок одноразовых 100 шт розовые,черные" in category "Маски защитные", progress: "6" of 20
2023-05-07T19:16:11.834371+0300 INFO Success parsing product "WoClot  / Респиратор с клапаном черный, 10 шт" in category "Маски защитные", progress: "7" of 20
2023-05-07T19:16:13.723609+0300 INFO Success parsing product "WoClot  / Респиратор с клапаном черный, 5 шт" in category "Маски защитные", progress: "8" of 20
2023-05-07T19:16:17.501634+0300 INFO Success parsing product "Маски VITAL  / Маски медицинские одноразовые для лица защитные набор 50 шт" in category "Маски защитные", progress: "9" of 20
2023-05-07T19:16:20.008675+0300 INFO Success parsing product "Повязки Ватно-Марлевые  / Ватно-марлевая повязка, для детей" in category "Маски защитные", progress: "10" of 20
2023-05-07T19:16:23.137961+0300 INFO Success parsing product "WoClot  / Респиратор с клапаном черный, 3 шт" in category "Маски защитные", progress: "11" of 20
2023-05-07T19:16:25.022582+0300 INFO Success parsing product "WoClot  / Респиратор с клапаном черный, 25 шт" in category "Маски защитные", progress: "12" of 20
2023-05-07T19:16:27.353558+0300 ERROR Error parsing product "3М  / Набор 15 в 1 Маска 7502 фильтры", "https://www.wildberries.ru/catalog/42570718/detail.aspx" in category "Маски защитные": invalid literal for int() with base 10: ''
2023-05-07T19:16:29.296334+0300 INFO Success parsing product "Bukhara Brilliant Silk  / Маска шелковая барьерная" in category "Маски защитные", progress: "14" of 20
2023-05-07T19:16:32.210055+0300 INFO Success parsing product "masks  / Лифтинг маска" in category "Маски защитные", progress: "15" of 20
2023-05-07T19:16:34.176176+0300 INFO Success parsing product "WoClot  / Респиратор с клапаном черный, 1 шт" in category "Маски защитные", progress: "16" of 20
2023-05-07T19:16:36.076493+0300 INFO Success parsing product "4Love4You  / Маска из страз многоразовая" in category "Маски защитные", progress: "17" of 20
2023-05-07T19:16:38.788950+0300 INFO Success parsing product "НАШ СЕЗОН  / Маска одноразовая" in category "Маски защитные", progress: "18" of 20
2023-05-07T19:16:41.270090+0300 INFO Success parsing product "Russian brand  / Маска для лица многоразовая защитная" in category "Маски защитные", progress: "19" of 20
2023-05-07T19:16:47.745038+0300 INFO Success parsing product "Euro shisha  / Уголь для кальяна кокосовый 25мм 72шт премиум" in category "Для курения", progress: "0" of 20
2023-05-07T19:16:49.891743+0300 INFO Success parsing product "LLU-HOME  / Пепельница стичница универсальная" in category "Для курения", progress: "1" of 20
2023-05-07T19:16:51.800340+0300 INFO Success parsing product "CocoLoco  / Уголь для кальяна кокосовый 25 для дома и кальянных" in category "Для курения", progress: "2" of 20
2023-05-07T19:16:53.889393+0300 INFO Success parsing product "Eco Coco  / Уголь для кальяна" in category "Для курения", progress: "3" of 20
2023-05-07T19:16:55.990377+0300 INFO Success parsing product "CocoLoco  / Кокосовый уголь для кальяна" in category "Для курения", progress: "4" of 20
2023-05-07T19:16:58.015819+0300 INFO Success parsing product "Don  / Шахта для кальяна" in category "Для курения", progress: "5" of 20
2023-05-07T19:17:00.295224+0300 INFO Success parsing product "Sulawesi  / Уголь для кальяна кокосовый 1000 грамм 72шт. 25 мм" in category "Для курения", progress: "6" of 20
2023-05-07T19:17:02.255843+0300 INFO Success parsing product "Lcfunny  / Mашинка для набивки сигарет, 8 мм" in category "Для курения", progress: "7" of 20
2023-05-07T19:17:04.111148+0300 INFO Success parsing product "CROWN  / Уголь для кальяна кокосовый CROWN Краун 1 кг, 72шт, 25мм" in category "Для курения", progress: "8" of 20
2023-05-07T19:17:06.652234+0300 INFO Success parsing product "Гильзы для сигарет с фильтром firebox 1000  / Прочие изделия для курения" in category "Для курения", progress: "9" of 20
2023-05-07T19:17:08.663365+0300 INFO Success parsing product "Max Group  / Электронная зажигалка подарочная USB для курения" in category "Для курения", progress: "10" of 20
2023-05-07T19:17:10.204939+0300 INFO Success parsing product "MNS-SHOP  / Зажигалка электронная USB подарочная для свечей" in category "Для курения", progress: "11" of 20
2023-05-07T19:17:13.337432+0300 INFO Success parsing product "Zippo  / Зажигалка Подарочная" in category "Для курения", progress: "12" of 20
2023-05-07T19:17:16.883727+0300 INFO Success parsing product "Reventon  / шахта" in category "Для курения", progress: "13" of 20
2023-05-07T19:17:19.535867+0300 INFO Success parsing product "Eco Coco  / Уголь для кальяна" in category "Для курения", progress: "14" of 20
2023-05-07T19:17:21.722437+0300 INFO Success parsing product "Kimico  / Кокосовый уголь для кальяна Cocoloco 72 шт. 25 мм" in category "Для курения", progress: "15" of 20
2023-05-07T19:17:24.559423+0300 INFO Success parsing product "Zippo  / Зажигалка подарочная" in category "Для курения", progress: "16" of 20
2023-05-07T19:17:26.911981+0300 INFO Success parsing product "Zippo  / Зажигалка Подарочная" in category "Для курения", progress: "17" of 20
2023-05-07T19:17:29.768010+0300 INFO Success parsing product "ELIF  / Зажигалка газовая "Автомат", в виде ножа" in category "Для курения", progress: "18" of 20
2023-05-07T19:17:31.781759+0300 INFO Success parsing product "Zippo  / Зажигалка Подарочная" in category "Для курения", progress: "19" of 20
2023-05-07T19:17:33.856737+0300 INFO Success parsing product "TM LIMITED  / Рубашка в клетку теплая оверсайз" in category "Рубашки", progress: "0" of 20
2023-05-07T19:17:36.262479+0300 INFO Success parsing product "BY.BEGMENOV  / Рубашка в клетку" in category "Рубашки", progress: "1" of 20
2023-05-07T19:17:38.175611+0300 INFO Success parsing product "SKOS Fashion  / рубашка с длинным рукавом льняная классическая летняя" in category "Рубашки", progress: "2" of 20
2023-05-07T19:17:40.108324+0300 ERROR Error parsing product "Vinkol  / рубашка мужская с длинным рукавом льняная классическая", "https://www.wildberries.ru/catalog/146481982/detail.aspx" in category "Рубашки": 'NoneType' object has no attribute 'text'
2023-05-07T19:17:41.841002+0300 ERROR Error parsing product "BULANTI  / Рубашка оверсайз базовая вельветовая с длинным рукавом", "https://www.wildberries.ru/catalog/64194553/detail.aspx" in category "Рубашки": invalid literal for int() with base 10: ''
2023-05-07T19:17:43.832067+0300 INFO Success parsing product "Antonio Moretti  / Рубашка приталенная" in category "Рубашки", progress: "5" of 20
2023-05-07T19:17:45.873368+0300 INFO Success parsing product "BULANTI  / Рубашка оверсайз базовая вельветовая с длинным рукавом" in category "Рубашки", progress: "6" of 20
2023-05-07T19:17:54.182722+0300 INFO Success parsing product "Zrar  / Рубашка мужская приталенная классическая" in category "Рубашки", progress: "7" of 20
2023-05-07T19:17:57.352299+0300 INFO Success parsing product "Le Valdo  / Рубашка мужская с длинным рукавом стрейч на кнопках белая" in category "Рубашки", progress: "8" of 20
2023-05-07T19:18:00.992375+0300 INFO Success parsing product "Country Stories  / Туника мужская пляжная белая из муслина с капюшоном" in category "Рубашки", progress: "9" of 20
2023-05-07T19:18:05.284258+0300 INFO Success parsing product "Banda  / Рубашка мужская теплая в клетку оверсайз с длинным рукавом" in category "Рубашки", progress: "10" of 20
2023-05-07T19:18:08.199255+0300 INFO Success parsing product "FANBOX  / Рубашка удлиненная с принтом широкая" in category "Рубашки", progress: "11" of 20
2023-05-07T19:18:11.183918+0300 INFO Success parsing product "Club ATZ  / Рубашка мужская классическая с запонками и длинным рукавом" in category "Рубашки", progress: "12" of 20
2023-05-07T19:18:13.214720+0300 ERROR Error parsing product "Jeytun  / Рубашка с коротким рукавом летняя", "https://www.wildberries.ru/catalog/152480030/detail.aspx" in category "Рубашки": invalid literal for int() with base 10: ''
2023-05-07T19:18:15.604164+0300 INFO Success parsing product "GALBIATI  / Рубашка белая с коротким рукавом" in category "Рубашки", progress: "14" of 20
2023-05-07T19:18:18.101015+0300 INFO Success parsing product "VIT&DA  / Куртка рубашка в клетку теплая оверсайз" in category "Рубашки", progress: "15" of 20
2023-05-07T19:18:20.643538+0300 INFO Success parsing product "Cassa Marina  / Рубашка приталенная без воротника классическая" in category "Рубашки", progress: "16" of 20
2023-05-07T19:18:22.792956+0300 INFO Success parsing product "MIX CLUB  / Рубашка классическая" in category "Рубашки", progress: "17" of 20
2023-05-07T19:18:24.604018+0300 INFO Success parsing product "GALBIATI  / Рубашка классическая приталенная Турция" in category "Рубашки", progress: "18" of 20
2023-05-07T19:18:27.430846+0300 INFO Success parsing product "BULANTI  / Рубашка оверсайз в клетку прямая повседневная длинная" in category "Рубашки", progress: "19" of 20
2023-05-07T19:18:29.576717+0300 INFO Success parsing product "LovelyPawly  / Лоток для кошек" in category "Лотки и наполнители", progress: "0" of 20
2023-05-07T19:18:31.259127+0300 INFO Success parsing product "SEPTON  / Поглотитель ликвидатор от запаха мочи. Антизапах для лотка" in category "Лотки и наполнители", progress: "1" of 20
2023-05-07T19:18:33.825315+0300 INFO Success parsing product "PURECO  / Наполнитель древесный впитывающий для кошачьего туалета" in category "Лотки и наполнители", progress: "2" of 20
2023-05-07T19:18:35.374353+0300 INFO Success parsing product "Pi-Pi Bent  / комкующийся Сенсация свежести, 10кг" in category "Лотки и наполнители", progress: "3" of 20
2023-05-07T19:18:37.092520+0300 INFO Success parsing product "Экософт  / Премиум силикагель высшего сорта 20 л" in category "Лотки и наполнители", progress: "4" of 20
2023-05-07T19:18:38.789113+0300 INFO Success parsing product "PetMart  / Пеленки для животных одноразовые на липучках 60х60 40 штук" in category "Лотки и наполнители", progress: "5" of 20
2023-05-07T19:18:40.806827+0300 ERROR Error parsing product "PetMart  / Пеленки для животных одноразовые на липучках 60х45 50 штук", "https://www.wildberries.ru/catalog/119141125/detail.aspx" in category "Лотки и наполнители": invalid literal for int() with base 10: ''
2023-05-07T19:18:43.076590+0300 INFO Success parsing product "PetMart  / Пеленки для животных одноразовые на липучках 60х45 30 штук" in category "Лотки и наполнители", progress: "7" of 20
2023-05-07T19:18:44.819385+0300 INFO Success parsing product "Новая Планета  / Пеленки одноразовые 40x60 60х40 см 30 шт" in category "Лотки и наполнители", progress: "8" of 20
2023-05-07T19:18:46.368143+0300 INFO Success parsing product "ВБочку  / Опилки для грызунов наполнитель древесный 10л" in category "Лотки и наполнители", progress: "9" of 20
2023-05-07T19:18:49.025603+0300 INFO Success parsing product "Моси-Моси  / Наполнитель древесный для кошек впитывающий пеллеты 6мм 45л" in category "Лотки и наполнители", progress: "10" of 20
2023-05-07T19:18:50.527391+0300 ERROR Error parsing product "Pi-Pi Bent  / Наполнитель комкующийся Классик, 10 кг (24 л)", "https://www.wildberries.ru/catalog/13767098/detail.aspx" in category "Лотки и наполнители": invalid literal for int() with base 10: ''
2023-05-07T19:18:52.738317+0300 INFO Success parsing product "Mr. Cat  / Наполнитель для кошачьего туалета силикагелевый 2,5 кг 6 л" in category "Лотки и наполнители", progress: "12" of 20
2023-05-07T19:18:58.859768+0300 INFO Success parsing product "FUJICAT  / Наполнитель для кошачьего туалета и лотков комкующийся 15 кг" in category "Лотки и наполнители", progress: "13" of 20
